"","country","iso_3","continent","Joined the Pillar Two Statement","2024_IIR","2024_UTPR","2024_QDMTT"
"1","Afghanistan","AFG","AS","No",NA,NA,NA
"2","Aland Islands","ALA","EU","No",NA,NA,NA
"3","Albania","ALB","EU","Yes","No","No","No"
"4","Algeria","DZA","AF","No",NA,NA,NA
"5","American Samoa","ASM","OC","No",NA,NA,NA
"6","Andorra","AND","EU","No",NA,NA,NA
"7","Angola","AGO","AF","Yes","No","No","No"
"8","Anguilla","AIA","NO","No",NA,NA,NA
"9","Antarctica","ATA","AN","No",NA,NA,NA
"10","Antigua and Barbuda","ATG","NO","No",NA,NA,NA
"11","Argentina","ARG","SA","Yes","No","No","No"
"12","Armenia","ARM","AS","Yes","No","No","No"
"13","Aruba","ABW","NO","No",NA,NA,NA
"14","Australia","AUS","OC","Yes","Yes","No","Yes"
"15","Austria","AUT","EU","Yes","Yes","No","Yes"
"16","Azerbaijan","AZE","AS","Yes","No","No","No"
"17","Bahamas","BHS","NO","Yes","No","No","No"
"18","Bahrain","BHR","AS","Yes","No","No","No"
"19","Bangladesh","BGD","AS","No",NA,NA,NA
"20","Barbados","BRB","NO","Yes","No","No","Yes"
"21","Belarus","BLR","EU","No",NA,NA,NA
"22","Belgium","BEL","EU","Yes","Yes","No","Yes"
"23","Belize","BLZ","NO","No",NA,NA,NA
"24","Benin","BEN","AF","No",NA,NA,NA
"25","Bermuda","BMU","NO","Yes","No","No","No"
"26","Bhutan","BTN","AS","No",NA,NA,NA
"27","Bolivia (Plurinational State of)","BOL","SA","No",NA,NA,NA
"28","Bonaire, Sint Eustatius and Saba","BES","NO","No",NA,NA,NA
"29","Bosnia and Herzegovina","BIH","EU","Yes","No","No","No"
"30","Botswana","BWA","AF","No",NA,NA,NA
"31","Bouvet Island","BVT","AN","No",NA,NA,NA
"32","Brazil","BRA","SA","Yes","No","No","No"
"33","British Indian Ocean Territory","IOT","AS","No",NA,NA,NA
"34","British Virgin Islands","VGB","NO","Yes","No","No","No"
"35","Brunei Darussalam","BRN","AS","No",NA,NA,NA
"36","Bulgaria","BGR","EU","Yes","Yes","No","Yes"
"37","Burkina Faso","BFA","AF","No",NA,NA,NA
"38","Burundi","BDI","AF","No",NA,NA,NA
"39","Cabo Verde","CPV","AF","Yes","No","No","No"
"40","Cambodia","KHM","AS","No",NA,NA,NA
"41","Cameroon","CMR","AF","Yes","No","No","No"
"42","Canada","CAN","NO","Yes","Yes","No","Yes"
"43","Cayman Islands","CYM","NO","Yes","No","No","No"
"44","Central African Republic","CAF","AF","No",NA,NA,NA
"45","Chad","TCD","AF","No",NA,NA,NA
"46","Chile","CHL","SA","Yes","No","No","No"
"47","China","CHN","AS","Yes","No","No","No"
"48","China, Hong Kong Special Administrative Region","HKG","AS","Yes","No","No","No"
"49","China, Macao Special Administrative Region","MAC","AS","No",NA,NA,NA
"50","Christmas Island","CXR","AS","No",NA,NA,NA
