"Country","y1970","y1971","y1972","y1973","y1974","y1975","y1976","y1977","y1978","y1979","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030","y2031","y2032"
"World",18031.3180727139,18886.6277456507,19912.0121852309,21199.5993992388,21646.0203839093,21799.3173786253,22928.9463927448,23872.1021398902,24829.0460167974,25925.973380819,26426.0710402131,26926.0728742033,27074.9936638772,27793.0293426365,29073.3880876452,30109.0805689692,31140.8021022081,32288.3811275214,33768.0016372204,34958.9944099635,35982.5620760555,36469.5313330627,37205.543606148,37860.9984775914,39094.720254804,40291.5154771124,41716.2927856725,43339.9724465707,44558.0298177898,46015.4703306192,48064.7815474526,49051.1522152262,50170.8736830942,51727.4701210397,54089.0668794372,56318.8814862523,58890.5828920041,61542.2795557666,62794.8096781611,61981.645332885,64732.4450348113,66903.290937786,68731.067694182,70683.1721545787,72848.0389518478,75078.2752403796,77047.5084823788,79581.9319351824,81999.4271950751,84025.6115953436,81110.3818105458,85836.5819209929,88423.535777133,91213.1636942453,93844.2907860514,96439.5425684595,99097.4331133836,101806.555572705,104573.403780993,107416.383630511,110313.197804421,113310.311063153,116411.808703291
"World less USA",12842.9547914639,13527.3928823695,14270.9408961683,15240.0491062701,15718.6839581281,15884.1596637815,16695.0713927448,17349.9629797339,17945.8868371099,18824.8830487877,19343.2131300569,19663.4717999846,19943.3276482522,20334.4531707615,21075.0633806139,21777.2534205317,22520.4730006456,23369.8254634589,24476.9137465954,25326.677027151,26175.2989479452,26672.8854602575,27063.8165161163,27440.0854286999,28253.9653902054,29159.7636246979,30164.595447734,31274.5461367816,31951.9025818258,32810.1441180706,34314.4076066017,35163.5026818663,36041.3436174691,37193.6644198149,39003.1377231032,40702.9513854682,42828.8223136962,45179.1728098243,46454.0516315699,46055.4126205742,48397.9008942246,50315.4248869419,51770.0499905944,53409.7187544406,55138.2623294294,56839.9752403796,58536.3428002596,60659.2018813491,62527.1462923288,64103.4855176806,61884.5588107216,65523.3204643298,67475.3675656343,69709.6351471573,72010.4240587649,74287.3764187229,76612.984471401,78962.3557470899,81340.8525474496,83765.6464858422,86213.0966596416,88752.3080023695,91387.2035902076
"United States and Canada",5610.77355957031,5798.41586303711,6104.44979858398,6454.60415649414,6438.62963867188,6433.92218017578,6783.13562011719,7090.28424072266,7472.23193359375,7712.02453613281,7706.96105957031,7908.38635253906,7756.86840820312,8100.04223632812,8677.69146728516,9043.37829589844,9347.14282226562,9674.97216796875,10080.8632202148,10440.3916625977,10616.6680353368,10589.1659533716,10941.381875188,11241.8455440087,11698.5838440908,12012.6905731176,12446.8999136221,12998.9439489493,13565.7511373311,14203.0517374509,14797.1653226868,14949.1538058209,15227.3605099611,15673.4755010294,16270.2060118028,16859.3717511747,17357.0017892454,17747.3129227001,17738.9118551849,17283.4430394592,17733.6853759382,18031.0364610003,18429.6201205798,18776.2613835365,19255.7157093324,19794.4295166016,20082.8782065333,20544.2774171146,21126.4802435666,21603.7197055927,20819.4184252222,21979.5709492453,22672.7985363213,23269.5499997064,23644.0387162204,23996.7314060287,24364.0606377045,24759.5244488075,25184.2670241199,25639.5355348012,26126.6867038494,26623.0937449935,27128.9325198009
"Canada",422.410278320312,439.180999755859,463.378509521484,495.053863525391,511.293212890625,518.764465332031,549.260620117188,568.145080566406,589.07275390625,610.934204101562,624.103149414062,645.785278320312,625.202392578125,641.466064453125,679.366760253906,711.551147460938,726.813720703125,756.41650390625,789.775329589844,808.074279785156,809.404907226562,792.520080566406,799.65478515625,820.932495117188,857.828979492188,880.938720703125,895.202575683594,933.517639160156,959.623901367188,997.725524902344,1046.79138183594,1061.50427246094,1097.83044433594,1139.66979980469,1184.27685546875,1243.44165039062,1295.2412109375,1384.20617675781,1398.15380859375,1357.21032714844,1399.14123535156,1443.17041015625,1468.60241699219,1502.80798339844,1545.93908691406,1556.12951660156,1571.71252441406,1621.54736328125,1654.19934082031,1681.59362792969,1593.59542539803,1666.30949258231,1724.63032482269,1766.02145261844,1810.1719889339,1844.56525629206,1879.61199572183,1915.32462319241,1951.71579057642,1988.79839013205,2026.58555907039,2065.09068420955,2104.32740671718
"United States",5188.36328125,5359.23486328125,5641.0712890625,5959.55029296875,5927.33642578125,5915.15771484375,6233.875,6522.13916015625,6883.1591796875,7101.09033203125,7082.85791015625,7262.60107421875,7131.666015625,7458.576171875,7998.32470703125,8331.8271484375,8620.3291015625,8918.5556640625,9291.087890625,9632.3173828125,9807.26312811027,9796.64587280522,10141.7270900318,10420.9130488916,10840.7548645986,11131.7518524144,11551.6973379385,12065.4263097892,12606.1272359639,13205.3262125486,13750.3739408509,13887.64953336,14129.5300656252,14533.8057012247,15085.929156334,15615.9301007841,16061.7605783079,16363.1067459423,16340.7580465912,15926.2327123107,16334.5441405866,16587.8660508441,16961.0177035877,17273.4534001381,17709.7766224184,18238.3,18511.1656821192,18922.7300538333,19472.2809027463,19922.126077663,19225.8229998242,20313.261456663,20948.1682114987,21503.528547088,21833.8667272865,22152.1661497366,22484.4486419826,22844.1998256151,23232.5512335435,23650.7371446691,24100.1011447791,24558.003060784,25024.6051130838
"Latin America",1162.35737261176,1243.08853186667,1332.91293792427,1440.12323817611,1537.81518270075,1593.01160910726,1677.68286082149,1759.16382993758,1826.28126567602,1960.60269229114,2092.02658824623,2107.79690133035,2099.97103396058,2056.13410523534,2134.86606276035,2203.91508069634,2292.15655484796,2366.88321357966,2381.09294372797,2424.85343202949,2425.43704012036,2502.40262395144,2566.89827999473,2672.00781032443,2811.29091399908,2836.74663379788,2951.9519661963,3107.79398190975,3191.04098513722,3210.74007618427,3325.58469811082,3341.95781299472,3359.38553491235,3444.03410705924,3637.64110940695,3783.63646614551,3975.97793006897,4185.93029785156,4342.01281070709,4254.69409769773,4530.15478610992,4732.3859539032,4852.32576978207,4992.37505424023,5059.90244758129,5086.87722027302,5081.52817976475,5176.4091629982,5252.54494208097,5289.91261827946,4927.95112898121,5258.47744219452,5345.45756653194,5454.02997532333,5593.95714632548,5743.78129911971,5902.15476522706,6068.14047740247,6242.45092332751,6425.66542661036,6621.94689199281,6824.41141200313,7033.25879843155
"Mexico",272.242431640625,282.485473632812,305.730651855469,329.764495849609,348.814453125,368.85205078125,385.145874023438,398.204772949219,433.871765136719,475.949371337891,519.894958496094,564.219177246094,561.280700683594,541.712036132812,560.188842773438,572.444091796875,554.818725585938,564.375183105469,571.617614746094,595.08544921875,625.885681152344,652.265197753906,675.362548828125,688.472412109375,722.490356445312,677.036865234375,722.894348144531,772.389831542969,812.275451660156,834.641906738281,875.893676757812,872.351684570312,872.004089355469,884.616577148438,919.298767089844,940.514404296875,982.791320800781,1005.31140136719,1016.80798339844,963.062133789062,1012.35272216797,1049.43530273438,1087.6591796875,1102.38708496094,1133.3017578125,1170.56457519531,1204.63439941406,1230.14953613281,1256.42504882812,1254.595703125,1149.61855975792,1207.37071580464,1227.89601797332,1251.22604231482,1277.86767798033,1305.07657865387,1333.78826400656,1363.13160645071,1393.12050244261,1423.76915416064,1456.51584402743,1490.01570774554,1524.28606831319
"Other Caribbean Central America",135.419048756361,143.624306216836,153.191342994571,161.169137090445,168.620397821069,172.439734011889,181.49741384387,194.497401848435,205.262383639812,211.986152336001,215.857288524509,223.689987406135,225.353375822306,226.606374412775,236.215084433556,239.100793272257,244.632157236338,251.305214703083,257.240369856358,264.974938720465,264.041147142649,263.011069476605,268.807879894972,273.104609340429,280.679281771183,292.507866054773,302.971498399973,316.943367600441,331.245052605867,346.726287722588,360.222268730402,372.378760546446,381.233368307352,389.901335090399,410.663249194622,426.279534697533,449.049634933472,469.198794603348,480.566789627075,476.502538621426,489.590404748917,504.229459762573,518.980378270149,532.199906945229,545.004897475243,562.42934858799,574.128257155418,585.7120013237,596.253589570522,608.981960892677,561.031685729837,597.872152329383,615.528781417672,633.386427460131,652.164420300419,671.214077336228,690.912889531092,711.261736354381,732.287171054776,754.013595477603,776.450849488544,799.613202166298,823.525712096686
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,0.346269190311432,0.361448347568512,0.390652447938919,0.422535300254822,0.438654631376266,0.438286125659943,0.461795836687088,0.50873738527298,0.547624230384827,0.610567212104797,0.651025652885437,0.684965372085571,0.720941662788391,0.742653906345367,0.758820533752441,0.767610132694244,0.808140516281128,0.862093567848206,0.824510633945465,0.878968060016632,0.927057564258575,0.970919609069824,1.00692021846771,1.07430076599121,1.02107906341553,1.03153598308563,1.09402537345886,1.15678381919861,1.23096144199371,1.38764452934265,1.51613235473633,1.51567542552948,1.33216452598572,1.2312616109848,1.20714592933655,1.24786138534546,1.240363240242,1.28744411468506,1.33669257164002,1.41018116474152,1.45453894138336,1.56201779842377,1.63465785980225,1.30458168716327,1.38697835598869,1.45923410159857,1.51015074494539,1.55170924709952,1.59176634057846,1.63315226391547,1.67561422121978,1.71918018937351,1.76215969410784,1.80621368646054,1.85136902862205,1.8976532543376
"Bahamas",4.8702597618103,4.94947481155396,4.77637529373169,5.13783073425293,4.27702665328979,3.64389276504517,3.83283567428589,4.18372869491577,4.77696180343628,6.02562570571899,6.41700744628906,5.82494831085205,6.21515560150146,6.43871784210205,7.35115766525269,7.70615863800049,7.84463882446289,8.07876300811768,8.26535892486572,8.82139778137207,8.68058490753174,8.31758213043213,7.99938631057739,8.02400875091553,8.27667808532715,8.63909339904785,9.00396823883057,9.18965148925781,9.62308025360107,10.3105630874634,10.7383737564087,11.0203294754028,11.3183813095093,11.175235748291,11.2738952636719,11.656683921814,11.9500646591187,12.1229276657104,11.8411951065063,11.346794128418,11.5213966369629,11.5920104980469,11.9498414993286,11.5970706939697,11.6824884414673,11.7523002624512,11.8047456741333,11.8126153945923,11.9975719451904,12.2134389877319,9.30394075243339,10.5796024555994,11.3646089578049,11.731685827142,12.0578266931365,12.2881311829754,12.5093175384095,12.7219759425274,12.925527560641,13.1194104740506,13.3293210447634,13.5425901846575,13.7592716308408
"Barbados",NA,NA,NA,NA,2.84906005859375,2.79492783546448,2.91679263114929,3.02302837371826,3.17045950889587,3.42070412635803,3.57029390335083,3.50246691703796,3.33081340789795,3.34750914573669,3.46803188323975,3.50611925125122,3.68507742881775,3.78055644035339,3.91307950019836,4.05395030975342,3.91986227035523,3.76699113845825,3.55255460739136,3.58072876930237,3.65272927284241,3.72629523277283,3.87447047233581,4.05812454223633,4.20943021774292,4.22351694107056,4.4113450050354,4.30699634552002,4.34090948104858,4.43534517288208,4.49795436859131,4.67586898803711,4.95187187194824,5.06091642379761,5.09639501571655,4.83760976791382,4.72700023651123,4.69517374038696,4.67378234863281,4.60804271697998,4.60230302810669,4.71500015258789,4.83187055587769,4.85482692718506,4.82665348052979,4.82201290130615,4.14783041675147,4.17705924128666,4.51048936701868,4.76031011889237,4.92690061686747,5.06252496318211,5.1789630349213,5.27736333135004,5.36707851049944,5.45295176794704,5.54019899753428,5.62884218281571,5.71890365908278
"Belize",0.182538077235222,0.189765557646751,0.209156379103661,0.220350190997124,0.25022965669632,0.259219974279404,0.259131789207458,0.27596652507782,0.297825306653976,0.32021290063858,0.363238871097565,0.367357164621353,0.366961479187012,0.359096825122833,0.366178452968597,0.369886070489883,0.386676907539368,0.428187847137451,0.470097631216049,0.531253695487976,0.592047095298767,0.659919559955597,0.739502191543579,0.785911083221436,0.78715568780899,0.792226910591125,0.803541541099548,0.832024455070496,0.863147556781769,0.938923299312592,1.06113851070404,1.11081266403198,1.16348373889923,1.27207803726196,1.33297502994537,1.35886430740356,1.42441630363464,1.43162190914154,1.48161482810974,1.48486685752869,1.52943968772888,1.55877232551575,1.5964583158493,1.61724615097046,1.67603886127472,1.72379994392395,1.72526657581329,1.75746881961823,1.79419815540314,1.79898059368134,1.49768014984596,1.64703507106027,1.75228300161151,1.79866655520781,1.83736870425848,1.87644702676494,1.91585241253748,1.95608531137367,1.99716310104705,2.03910352426439,2.08192469632931,2.12564511296674,2.17028365831187
