"","dist10.counts","dist10.breaks.1.12."
"1",4,0
"2",10,5
"3",12,10
"4",21,15
"5",33,20
"6",37,25
"7",26,30
"8",7,35
"9",0,40
"10",0,45
"11",1,50
"12",0,55
