"","dist00.counts","dist00.breaks.1.12."
"1",3,0
"2",1,5
"3",2,10
"4",3,15
"5",14,20
"6",30,25
"7",43,30
"8",21,35
"9",8,40
"10",1,45
"11",2,50
"12",0,55
