"","dist.counts","dist.breaks.1.12."
"1",13,0
"2",15,5
"3",15,10
"4",36,15
"5",55,20
"6",56,25
"7",24,30
"8",2,35
"9",0,40
"10",1,45
"11",1,50
"12",0,55
