"","dist.counts","dist.breaks.1.12."
"1",15,0
"2",15,5
"3",15,10
"4",35,15
"5",58,20
"6",59,25
"7",23,30
"8",2,35
"9",0,40
"10",1,45
"11",0,50
"12",0,55
