"","region","avgrate19","wavgrate19","count19","avgrate10","wavgrate10","count10","avgrate00","wavgrate00","count00","avgrate90","wavgrate90","count90","avgrate80","wavgrate80","count80"
"1","Africa",28.4489795918367,28.1487708735018,49,29.85,29.9608651874436,33,35.6,35.8071394811499,28,44.1666666666667,44.6393642525102,18,44.23125,43.9113722748019,16
"2","Asia",21.5813043478261,26.1028509689777,46,22.2097727272727,29.4598751141388,44,30.3225,36.8019096181137,32,35.9726315789474,46.2757073129192,19,39.7764705882353,45.5426953297416,17
"3","BRICS",27.4,26.521687131536,5,29.508,27.5866788005307,5,36.26,35.371171465036,5,41,37.0611336408356,5,48.05,43.270633436852,4
"4","EU",21.7694879642857,25.9469921364524,28,23.0494603571429,28.8018200372093,28,32.5307142857143,38.6116554864053,28,41.2997326205882,43.5574338825654,17,44.6,47.5162965140611,10
"5","Europe",20.2742113846154,25.1322435715496,39,21.0656237948718,27.7527582379632,39,31.9654285714286,37.7053267557187,35,40.9245996855,42.3602347464828,20,44.6,47.5162965140611,10
"6","G20",27.1079896842105,26.9449917744178,19,29.6784415789474,33.0034982708888,19,37.2515789473684,39.0366002699621,19,40.4134385029412,42.0860417086869,17,46.2415833333333,48.1496180587519,12
"7","G7",27.6502577142857,27.2240744995336,7,33.1643414285714,36.1257879092233,7,40.5257142857143,40.4644626841636,7,43.8612077928571,43.4756625808626,7,50.5663333333333,50.053766779131,3
"8","North America",25.8493700454545,26.2602841777758,22,28.0241944444444,37.6040660947849,18,31.14,39.2142835392327,15,34.7057222222222,38.6515055903596,18,39.2642142857143,48.9161222765983,14
"9","Oceania",23.75,29.7377009214576,8,29.1666666666667,29.9939191893928,6,27.6666666666667,33.7909212035097,6,30.5,38.2148514713481,7,34.5714285714286,45.708685815291,7
"10","OECD",23.5866773611111,26.52819753012,36,25.164023,33.3779335044603,36,32.3952777777778,38.5123326064297,36,40.6906247379167,42.5321905370233,24,46.3306923076923,48.4410733994261,13
"11","South America",27.625,32.0104484162269,12,27.5454545454545,32.4438716788293,11,31.5833333333333,34.5168673276553,12,30.9090909090909,30.8397017708083,11,36.66,37.2696817427965,10
"12","World",24.2478430965909,26.3063789575473,176,24.9422174039735,31.3958346373838,151,32.015703125,37.6541124829361,128,37.3674730506452,41.4227553385771,93,40.3810675675676,46.6688041699129,74
