"","iso_3","continent","country","2000","2019","rate_change","change"
"160","LVA","EU","Latvia",25,20,-5,"Decrease"
"161","MAC","AS","China, Macao Special Administrative Region",15,12,-3,"Decrease"
"163","MAR","AF","Morocco",35,31,-4,"Decrease"
"164","MCO","EU","Monaco",33.3,31,-2.3,"Decrease"
"168","MEX","NO","Mexico",35,30,-5,"Decrease"
"169","MEX","NO","Mexico",35,30,-5,"Decrease"
"173","MLT","EU","Malta",35,35,0,"No Change"
"174","MMR","AS","Myanmar",30,25,-5,"Decrease"
"178","MOZ","AF","Mozambique",35,32,-3,"Decrease"
"182","MUS","AF","Mauritius",35,15,-20,"Decrease"
"183","MWI","AF","Malawi",38,30,-8,"Decrease"
"184","MYS","AS","Malaysia",28,24,-4,"Decrease"
"186","NAM","AF","Namibia",35,32,-3,"Decrease"
"190","NGA","AF","Nigeria",30,30,0,"No Change"
"193","NLD","EU","Netherlands",35,25,-10,"Decrease"
"194","NLD","EU","Netherlands",35,25,-10,"Decrease"
"195","NOR","EU","Norway",28,22,-6,"Decrease"
"196","NOR","EU","Norway",28,22,-6,"Decrease"
"199","NZL","OC","New Zealand",33,28,-5,"Decrease"
"200","NZL","OC","New Zealand",33,28,-5,"Decrease"
"201","OMN","AS","Oman",30,15,-15,"Decrease"
"202","PAK","AS","Pakistan",45.15,30,-15.15,"Decrease"
"203","PAN","NO","Panama",37,25,-12,"Decrease"
"205","PER","SA","Peru",30,29.5,-0.5,"Decrease"
"206","PHL","AS","Philippines",32,30,-2,"Decrease"
"208","PNG","OC","Papua New Guinea",25,30,5,"Increase"
"209","POL","EU","Poland",30,19,-11,"Decrease"
"210","POL","EU","Poland",30,19,-11,"Decrease"
"213","PRT","EU","Portugal",35.2,31.5,-3.7,"Decrease"
"214","PRT","EU","Portugal",35.2,31.5,-3.7,"Decrease"
"215","PRY","SA","Paraguay",30,10,-20,"Decrease"
"218","QAT","AS","Qatar",35,10,-25,"Decrease"
"220","ROU","EU","Romania",38,16,-22,"Decrease"
"221","RUS","EU","Russian Federation",35,20,-15,"Decrease"
"223","SAU","AS","Saudi Arabia",45,20,-25,"Decrease"
"224","SDN","AF","Sudan",40,35,-5,"Decrease"
"225","SEN","AF","Senegal",35,30,-5,"Decrease"
"226","SGP","AS","Singapore",26,17,-9,"Decrease"
"231","SLE","AF","Sierra Leone",45,30,-15,"Decrease"
"232","SLV","NO","El Salvador",25,30,5,"Increase"
"239","SUR","SA","Suriname",38,36,-2,"Decrease"
"240","SVK","EU","Slovakia",29,21,-8,"Decrease"
"241","SVK","EU","Slovakia",29,21,-8,"Decrease"
"242","SVN","EU","Slovenia",25,19,-6,"Decrease"
"243","SVN","EU","Slovenia",25,19,-6,"Decrease"
"244","SWE","EU","Sweden",28,21.4,-6.6,"Decrease"
"245","SWE","EU","Sweden",28,21.4,-6.6,"Decrease"
"246","SWZ","AF","Swaziland",37.5,27.5,-10,"Decrease"
"253","THA","AS","Thailand",30,20,-10,"Decrease"
"259","TTO","NO","Trinidad and Tobago",35,25,-10,"Decrease"
"260","TUN","AF","Tunisia",35,25,-10,"Decrease"
"261","TUR","AS","Turkey",33,22,-11,"Decrease"
"262","TUR","AS","Turkey",33,22,-11,"Decrease"
"264","TWN","AS","Taiwan",25,20,-5,"Decrease"
"265","TZA","AF","United Republic of Tanzania",30,30,0,"No Change"
"266","UGA","AF","Uganda",30,30,0,"No Change"
"267","UKR","EU","Ukraine",30,18,-12,"Decrease"
"269","URY","SA","Uruguay",30,25,-5,"Decrease"
"270","USA","NO","United States of America",39.34,25.886141,-13.453859,"Decrease"
"271","USA","NO","United States of America",39.34,25.766571,-13.573429,"Decrease"
"272","UZB","AS","Uzbekistan",33,7.5,-25.5,"Decrease"
"275","VEN","SA","Venezuela (Bolivarian Republic of)",34,34,0,"No Change"
"276","VGB","NO","British Virgin Islands",15,0,-15,"Decrease"
"277","VIR","NO","United States Virgin Islands",38.5,21,-17.5,"Decrease"
"278","VNM","AS","Viet Nam",32,20,-12,"Decrease"
"279","VUT","OC","Vanuatu",0,0,0,"No Change"
"281","WSM","OC","Samoa",39,27,-12,"Decrease"
"283","YEM","AS","Yemen",35,20,-15,"Decrease"
"284","ZAF","AF","South Africa",37.8,28,-9.8,"Decrease"
"285","ZMB","AF","Zambia",35,35,0,"No Change"
"286","ZWE","AF","Zimbabwe",35,25,-10,"Decrease"
