"","Region","Average Rate","Weighted Average Rate","Number of Countries"
"1","Africa",28.4489795918367,28.1487708735018,49
"2","Asia",21.5813043478261,26.1028509689777,46
"3","Europe",20.2124934358974,24.819745705909,39
"4","North America",25.8493700454545,26.2602841777758,22
"5","Oceania",23.75,29.7377009214576,8
"6","South America",27.625,32.0104484162269,12
"7","G7",27.3064005714286,27.0400766484134,7
"8","OECD",23.51981625,26.3947553319809,36
"9","BRICS",27.4,26.521687131536,5
"10","EU",21.6835236785714,25.58274338098,28
"11","G20",26.9813054736842,26.8367853114306,19
"12","World",24.2341669602273,26.2221951463583,176
