"Country","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998"
"World",27983.4048721269,28512.7200836018,28710.8766954169,29449.081889376,30763.67947644,31865.0721711963,32936.7939258963,34121.2058153749,35679.7470897883,36974.5485589653,37974.4869697317,38456.1508931592,39114.4112573341,39692.7525117248,40886.7743599489,42122.0804006755,43552.3362124339,45160.943800576,46309.4085230827
"World Less USA",21464.8582341745,21825.9457512423,22152.459013395,22586.4588991106,23401.8328252286,24191.4464769214,24993.6390286088,25902.7446630746,27116.1327436119,28095.8892279118,28926.2598564103,29415.3871072158,29750.5100994185,30071.4679126889,30877.7503843382,31840.5900253057,32881.4974187389,34011.0945797041,34663.2528772652
"North America",7310.49102783203,7507.25897216797,7353.36218261719,7678.08251953125,8224.72967529297,8577.56860351562,8866.75323486328,9179.47473144531,9567.51379394531,9906.22479248047,10078.4906616211,10050.2196044922,10381.0204467773,10665.1606445312,11100.4669189453,11401.8432617188,11810.5487060547,12338.169921875,12880.5681152344
"Canada",781.317687988281,808.688171386719,782.793823242188,803.13525390625,850.723815917969,890.997802734375,910.259582519531,947.547973632812,989.518676757812,1012.51483154297,1014.07757568359,992.521362304688,1001.28509521484,1027.87158203125,1074.05871582031,1102.81884765625,1120.58581542969,1168.544921875,1213.90502929688
"United States",6529.17333984375,6698.57080078125,6570.568359375,6874.947265625,7374.005859375,7686.57080078125,7956.49365234375,8231.9267578125,8577.9951171875,8893.7099609375,9064.4130859375,9057.6982421875,9379.7353515625,9637.2890625,10026.408203125,10299.0244140625,10689.962890625,11169.625,11666.6630859375
"Latin America",2430.27619242668,2439.87230779231,2430.11214587092,2369.53898958862,2460.9501478374,2552.29518507421,2665.85144001245,2755.14578658342,2780.5284524858,2824.08757439256,2830.38237243891,2924.86799037457,2995.58076223731,3110.15894764662,3257.46404108405,3305.24966439605,3424.26581057906,3599.14079746604,3680.89374434948
"Cuba",29.9800643920898,35.882640838623,39.0827369689941,41.1976890563965,44.4645462036133,45.1744995117188,45.2175559997559,44.1313514709473,45.7666549682617,46.0779075622559,44.7192687988281,39.937572479248,35.3125610351562,30.0586967468262,30.2741966247559,31.0180950164795,33.4495277404785,34.3805694580078,34.4352836608887
"Mexico",543.23486328125,589.548950195312,586.478515625,566.031372070312,585.337646484375,598.143005371094,579.726440429688,589.711853027344,597.279418945312,621.800842285156,653.983764648438,681.547546386719,705.681884765625,719.380249023438,754.925354003906,707.431274414062,755.347351074219,807.064880371094,848.741149902344
"Other Caribbean Central America",162.026265978813,162.809658423066,161.043736666441,159.883545562625,164.906619757414,166.62634550035,171.502068698406,178.731345951557,182.488119572401,189.066340237856,189.350345790386,193.333948373795,202.372347682714,211.690661728382,218.197596520185,228.074558347464,234.879854649305,246.365292876959,258.953121900558
"Antigua and Barbuda",0.393900394439697,0.408927381038666,0.40858381986618,0.430500328540802,0.474260687828064,0.510512173175812,0.569189548492432,0.606906175613403,0.6385458111763,0.672084033489227,0.692324817180634,0.707395851612091,0.715589821338654,0.753373563289642,0.803670227527618,0.768634259700775,0.819401204586029,0.864231705665588,0.905121207237244
"Bahamas",5.62297868728638,5.10417985916138,5.44610357284546,5.64200305938721,6.4415397644043,6.75261306762695,6.87395763397217,7.07911252975464,7.24261903762817,7.72985410690308,7.60646629333496,7.28838014602661,7.00955772399902,7.03113317489624,7.25253772735596,7.57010841369629,7.8898344039917,8.05254173278809,8.43233871459961
"Barbados",3.31771063804626,3.25371980667114,3.09326696395874,3.10898113250732,3.21939611434937,3.2541332244873,3.41996216773987,3.5076322555542,3.6287989616394,3.75947737693787,3.63541579246521,3.49315857887268,3.24917125701904,3.2888708114624,3.4133460521698,3.4824070930481,3.62052869796753,3.79214715957642,3.93399095535278
"Belize",0.324847787618637,0.328530818223953,0.328176975250244,0.321143567562103,0.3274767100811,0.330792456865311,0.345808625221252,0.382932215929031,0.420412540435791,0.475104928016663,0.529473006725311,0.590171992778778,0.661343455314636,0.702847361564636,0.703960359096527,0.708495557308197,0.718614399433136,0.744086921215057,0.771920621395111
"Costa Rica",12.0066165924072,11.735068321228,10.8801012039185,11.1915979385376,12.0896234512329,12.1768627166748,12.8510036468506,13.4632940292358,13.9253740310669,14.7143821716309,15.237193107605,15.5824155807495,17.0154628753662,18.2214374542236,19.0390815734863,19.8237781524658,20.0691604614258,21.185998916626,22.6609039306641
"Dominica",0.196790546178818,0.218101635575294,0.227104187011719,0.232909694314003,0.242684096097946,0.246132478117943,0.263542294502258,0.280165374279022,0.302064836025238,0.301487475633621,0.31782403588295,0.322103440761566,0.328642129898071,0.335747808218002,0.33586198091507,0.346039146184921,0.356783419847488,0.36458021402359,0.378338903188705
"Dominican Republic",15.2148790359497,15.8660554885864,16.1355743408203,16.8823204040527,17.0938377380371,16.7310161590576,17.3202819824219,19.072639465332,19.4838371276855,20.3412322998047,19.2317581176758,19.4133319854736,21.5916900634766,23.181812286377,23.7846202850342,25.1368789672852,26.6395168304443,29.0065097808838,30.9541454315186
"El Salvador",11.791069984436,10.5587930679321,9.89297771453857,10.0448360443115,10.1791305541992,10.2418947219849,10.2612924575806,10.5192184448242,10.7167129516602,10.8198280334473,11.3425951004028,11.5120935440063,12.3200178146362,13.0369482040405,13.6483526229858,14.2945966720581,14.4114809036255,14.8632717132568,15.2577686309814
"Grenada",0.293959259986877,0.29846915602684,0.310778796672821,0.322068095207214,0.333560973405838,0.353506952524185,0.378939211368561,0.413412928581238,0.425678044557571,0.441716432571411,0.459440797567368,0.465806543827057,0.461841821670532,0.452795207500458,0.460463523864746,0.470268994569778,0.491140633821487,0.515773713588715,0.576395213603973
"Guatemala",18.2293186187744,18.3472366333008,17.6995620727539,17.2443141937256,17.3299674987793,17.2243690490723,17.2490081787109,17.8603096008301,18.5555038452148,19.287073135376,19.8854675292969,20.6129264831543,21.6102485656738,22.4589099884033,23.3648433685303,24.5210647583008,25.2463436126709,26.3481178283691,27.663818359375
"Haiti",7.17783451080322,6.97307157516479,6.72456932067871,6.78564071655273,6.80605936050415,6.84714317321777,6.81307792663574,6.75900650024414,6.77255344390869,6.57524013519287,6.64349937438965,6.76843357086182,6.40903425216675,6.06126117706299,5.33690214157104,5.86513328552246,6.10799503326416,6.27319860458374,6.41006994247437
