"Country","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"World",45655.7153257364,47691.762565519,48665.4721004802,49819.3480483286,51403.2063270944,53705.506271527,55895.7455304418,58425.6738038693,61036.6746973682,62262.5197611689,61466.4009481193,64224.8715484832,66374.5190261649,68172.5473084399,70117.1503039927,72304.0601920822,74568.1394066393,76666.4782598453,79282.0250206063,81788.9332378518,83881.5457031116
"World Less USA",32810.1441180706,34314.4076066017,35163.5026818663,36041.3436174691,37193.6644198149,39003.1377231032,40702.9513854682,42828.8223136961,45179.1728098243,46454.0516315699,46055.4126205742,48397.9008942246,50315.4248869419,51770.0499905944,53409.7187544405,55138.2623294294,56839.9752403796,58536.3428002596,60659.2018813491,62527.1462923288,64103.4855176806
"North America",14203.0517374509,14797.1653226868,14949.1538058209,15227.3605099611,15673.4755010294,16270.2060118028,16859.3717511747,17357.0017892454,17747.3129227001,17738.911855185,17283.4430394592,17733.6853759382,18031.0364610003,18429.6201205798,18776.2613835366,19255.7157093325,19794.4295166016,20125.0549542146,20601.2549935053,21202.8448373687,21653.4564256653
"Canada",997.725524902344,1046.79138183594,1061.50427246094,1097.83044433594,1139.66979980469,1184.27685546875,1243.44165039062,1295.2412109375,1384.20617675781,1398.15380859375,1357.21032714844,1399.14123535156,1443.17041015625,1468.60241699219,1502.80798339844,1545.93908691406,1556.12951660156,1571.71252441406,1621.54736328125,1654.19934082031,1681.59362792969
"United States",13205.3262125486,13750.3739408509,13887.64953336,14129.5300656252,14533.8057012247,15085.929156334,15615.9301007841,16061.7605783079,16363.1067459423,16340.7580465912,15926.2327123107,16334.5441405866,16587.8660508441,16961.0177035876,17273.4534001381,17709.7766224184,18238.3,18553.3424298005,18979.707630224,19548.6454965484,19971.8627977356
"Latin America",3210.74007618427,3325.58469811082,3341.95781299472,3359.38553491235,3444.03410705924,3637.64110940695,3783.63646614552,3975.97793006897,4185.93029785156,4342.01281070709,4254.69409769773,4530.15478610992,4732.3859539032,4852.32576978207,4992.37505424023,5059.90244758129,5086.87722027302,5081.52817976475,5176.4091629982,5252.54494208097,5289.91261827946
"Mexico",834.641906738281,875.893676757812,872.351684570312,872.004089355469,884.616577148438,919.298767089844,940.514404296875,982.791320800781,1005.31140136719,1016.80798339844,963.062133789062,1012.35272216797,1049.43530273438,1087.6591796875,1102.38708496094,1133.3017578125,1170.56457519531,1204.63439941406,1230.14953613281,1256.42504882812,1254.595703125
"Other Caribbean Central America",346.726287722588,360.222268730402,372.378760546446,381.233368307352,389.901335090399,410.663249194622,426.279534697533,449.049634933472,469.198794603348,480.566789627075,476.502538621426,489.590404748917,504.229459762573,518.980378270149,532.199906945229,545.004897475243,562.42934858799,574.128257155418,585.7120013237,596.253589570522,608.981960892677
"Antigua and Barbuda",1.00692021846771,1.07430076599121,1.02107906341553,1.03153598308563,1.09402537345886,1.15678381919861,1.23096144199371,1.38764452934265,1.51613235473633,1.51567542552948,1.33216452598572,1.2312616109848,1.20714592933655,1.24786138534546,1.240363240242,1.28744411468506,1.33669257164001,1.41018116474152,1.45453894138336,1.56201779842377,1.63465785980225
"Bahamas",10.3105630874634,10.7383737564087,11.0203294754028,11.3183813095093,11.175235748291,11.2738952636719,11.656683921814,11.9500646591187,12.1229276657104,11.8411951065063,11.346794128418,11.5213966369629,11.5920104980469,11.9498414993286,11.5970706939697,11.6824884414673,11.7523002624512,11.8047456741333,11.8126153945923,11.9975719451904,12.2134389877319
"Barbados",4.22351694107056,4.4113450050354,4.30699634552002,4.34090948104858,4.43534517288208,4.49795436859131,4.67586898803711,4.95187187194824,5.06091642379761,5.09639501571655,4.83760976791382,4.72700023651123,4.69517374038696,4.67378234863281,4.60804271697998,4.60230302810669,4.71500015258789,4.83187055587769,4.85482692718506,4.82665348052979,4.82201290130615
"Belize",0.938923299312592,1.06113851070404,1.11081266403198,1.16348373889923,1.27207803726196,1.33297502994537,1.35886430740356,1.42441630363464,1.43162190914154,1.48161482810974,1.48486685752869,1.52943968772888,1.55877232551575,1.5964583158493,1.61724615097046,1.67603886127472,1.72379994392395,1.72526657581329,1.75746881961823,1.79419815540314,1.79898059368134
"Costa Rica",28.8680114746094,29.9745674133301,31.0208225250244,32.0419502258301,33.4054908752441,34.8541412353516,36.2033042907715,38.823600769043,41.9946708679199,43.9472541809082,43.5207252502441,45.6758117675781,47.6431159973145,49.9285202026367,51.0614128112793,52.8563919067383,54.775993347168,57.1017761230469,59.306022644043,60.8837814331055,62.152515411377
"Cuba",43.1325645446777,45.6837539672852,47.1387939453125,47.8104362487793,49.6237640380859,52.4873199462891,58.366771697998,65.4092254638672,70.1593322753906,73.0476684570312,74.1078186035156,75.8792572021484,78.005615234375,80.3574066162109,82.5653076171875,83.4302444458008,87.1330032348633,87.5806503295898,89.1650390625,91.1698989868164,91.5616226196289
"Dominica",0.418542206287384,0.428334027528763,0.428065031766891,0.415955573320389,0.442382842302322,0.455878615379333,0.458870232105255,0.480247914791107,0.510761678218842,0.547131776809692,0.540731608867645,0.544369578361511,0.543152689933777,0.537400722503662,0.532027006149292,0.555691301822662,0.54073703289032,0.554560959339142,0.516853988170624,0.528558492660522,0.558494329452515
"Dominican Republic",34.0709533691406,35.6592597961426,36.5363082885742,38.178653717041,37.6648788452148,38.6329154968262,42.275318145752,46.15380859375,49.5765533447266,51.1677169799805,51.6518402099609,55.9594268798828,57.7128715515137,59.2811393737793,62.171215057373,66.5545806884766,71.1648254394531,75.9038314819336,79.446044921875,84.9933853149414,89.3171463012695
"El Salvador",17.3508281707764,17.5462074279785,17.7001438140869,17.9799575805664,18.2608470916748,18.423511505127,18.9223232269287,19.7441005706787,20.1114540100098,20.6284885406494,20.1981544494629,20.6231803894043,21.41037940979,22.0131874084473,22.5049076080322,22.8900184631348,23.4382400512695,24.0351028442383,24.5758781433105,25.1733093261719,25.7730293273926
"Grenada",0.684029638767242,0.717464625835419,0.702943861484528,0.727106332778931,0.795919477939606,0.79076623916626,0.895725190639496,0.859961748123169,0.912621080875397,0.921268582344055,0.860342442989349,0.855943858623505,0.862491607666016,0.852528631687164,0.872575104236603,0.936657726764679,0.99700790643692,1.03425228595734,1.0802013874054,1.12493419647217,1.16010332107544
"Guatemala",35.7403984069824,37.0302238464355,37.8939819335938,39.3591995239258,40.355297088623,41.6273307800293,42.9844284057617,45.2968940734863,48.1524353027344,49.7323570251465,49.9939651489258,51.4285354614258,53.569019317627,55.1599426269531,57.1995277404785,59.7414627075195,62.1861877441406,63.8514060974121,65.7819137573242,67.8967361450195,70.5080490112305
"Haiti",7.09394788742065,7.15566921234131,7.08093738555908,7.06313180923462,7.08882713317871,6.83909606933594,6.96254205703735,7.11914491653442,7.35715818405151,7.41924810409546,7.64800214767456,7.40920114517212,7.81846618652344,8.04459476470947,8.38630104064941,8.6191291809082,8.7246561050415,8.85140037536621,8.95525169372559,9.08813762664795,9.00317478179932
"Honduras",10.970850944519,11.7707662582397,12.0913076400757,12.5452556610107,13.1156940460205,13.9331026077271,14.7761392593384,15.7465238571167,16.7209701538086,17.4285354614258,17.0047397613525,17.6392097473145,18.3157939910889,19.0719966888428,19.6044025421143,20.2039222717285,20.9797668457031,21.7965030670166,22.8520908355713,23.696870803833,24.3254909515381
"Jamaica",12.740852355957,12.8528070449829,13.0256681442261,13.2858276367188,13.7729291915894,13.9552450180054,14.0799760818481,14.4881715774536,14.6956357955933,14.5763463973999,13.944221496582,13.7397909164429,13.9775409698486,13.8917694091797,13.9614458084106,14.0579862594604,14.1876964569092,14.3828678131104,14.5271797180176,14.809136390686,14.9127998352051
"Nicaragua",7.03637075424194,7.32497358322144,7.54185438156128,7.59871578216553,7.79025936126709,8.20409107208252,8.55542278289795,8.91067218780518,9.362961769104,9.68470764160156,9.36581039428711,9.77873516082764,10.3965082168579,11.0719432830811,11.6174345016479,12.1734237670898,12.756706237793,13.3388643264771,13.9566383361816,13.4052228927612,12.8852996826172
"Panama",20.5196285247803,21.0768127441406,21.1978511810303,21.6703815460205,22.581729888916,24.280345916748,26.0264129638672,28.2783393859863,31.6672115325928,34.7882232666016,35.2206344604492,37.2732391357422,41.490234375,45.5475234985352,48.6917953491211,51.1588821411133,54.0917015075684,56.7711334228516,59.9497528076172,62.163158416748,64.0320281982422
"Puerto Rico",96.4237899780273,99.578742980957,105.865623474121,106.835838317871,106.892906188965,116.244621276855,113.934906005859,112.329093933105,111.022918701172,108.975509643555,106.847854614258,106.406295776367,106.02481842041,106.055862426758,105.730445861816,104.471870422363,103.375503540039,102.069862365723,99.1241760253906,94.5053863525391,95.6277923583984
"St. Kitts Nevis",0.60615462064743,0.669238269329071,0.706161797046661,0.723601877689362,0.698679268360138,0.727030992507935,0.797518312931061,0.804786384105682,0.809619963169098,0.859176695346832,0.824393570423126,0.81937962770462,0.834356665611267,0.815771758556366,0.859690129756927,0.913728952407837,0.923155546188354,0.949261426925659,0.930486917495728,0.957693576812744,0.981680989265442
"St. Lucia",1.46115350723267,1.46186590194702,1.41204452514648,1.41792488098145,1.47839403152466,1.58583498001099,1.57932817935944,1.67717158794403,1.70554292201996,1.7899557352066,1.73931968212128,1.76721596717834,1.86411964893341,1.86039423942566,1.80133831501007,1.83301782608032,1.80807983875275,1.8801656961441,1.94576179981232,1.99711942672729,2.03164649009705
"St. Vincent Grenadines",0.530086994171143,0.538776040077209,0.547985196113586,0.58262687921524,0.627429664134979,0.65350741147995,0.66976672410965,0.721260786056519,0.745369374752045,0.75717955827713,0.741285920143127,0.716427326202393,0.713423371315002,0.723283529281616,0.736541152000427,0.745483040809631,0.755400002002716,0.769733250141144,0.777433335781097,0.794250190258026,0.796970009803772
"Trinidad and Tobago",12.5982007980347,13.4676475524902,14.0290498733521,15.1424942016602,17.3292217254639,18.706901550293,19.8684024810791,22.4926338195801,23.5619792938232,24.361141204834,23.2912635803223,24.0652866363525,23.9944496154785,24.2991695404053,24.8408164978027,24.6141319274902,25.062894821167,23.4848213195801,22.9418258666992,22.8855686187744,22.8850269317627
"South America",2029.3718817234,2089.4687526226,2097.22736787796,2106.14807724953,2169.5161948204,2307.67909312248,2416.84252715111,2544.13697433472,2711.42010188103,2844.63803768158,2815.12942528725,3028.21165919304,3178.72119140625,3245.68621182442,3357.78806233406,3381.59579229355,3353.88329648972,3302.76552319527,3360.54762554169,3399.86630368233,3426.33495426178
"Argentina",398.792541503906,395.646087646484,378.202667236328,336.999420166016,366.780212402344,399.898895263672,435.296600341797,470.325561523438,512.690856933594,533.491943359375,501.917053222656,552.738159179688,585.92431640625,579.910217285156,593.858947753906,578.937561035156,594.749267578125,582.376525878906,597.917785644531,583.078735351562,570.466979980469
"Brazil",1136.54931640625,1186.42053222656,1202.91052246094,1239.64099121094,1253.78308105469,1326.00061035156,1368.4609375,1422.67919921875,1509.03393554688,1585.90710449219,1583.91186523438,1703.15234375,1770.8427734375,1804.86340332031,1859.0966796875,1868.46569824219,1802.21435546875,1743.17529296875,1766.23522949219,1789.50048828125,1809.83972167969
"Other South America",494.030023813248,507.402132749557,516.114178180695,529.507665872574,548.952901363373,581.779587507248,613.084989309311,651.132213592529,689.695309400558,725.238989830017,729.300506830215,772.321156263351,821.9541015625,860.912591218948,904.832434892654,934.192533016205,956.919673442841,977.21370434761,996.394610404968,1027.28708004951,1046.02825260162
"Bolivia",16.9106884002686,17.3347797393799,17.6266613006592,18.0647830963135,18.5545806884766,19.3289184570312,20.1835346221924,21.1517391204834,22.1171875,23.4770603179932,24.2651863098145,25.2665424346924,26.5814361572266,27.9430103302002,29.8420219421387,31.471565246582,33.0001983642578,34.4073028564453,35.850757598877,37.3649597167969,38.193229675293
"Chile",126.51392364502,133.25325012207,137.654663085938,141.931564331055,147.738037109375,158.389282226562,167.485305786133,178.065643310547,186.800338745117,193.393524169922,190.368377685547,201.493850708008,213.806976318359,225.178573608398,234.287063598633,238.426300048828,243.919082641602,248.0927734375,251.041519165039,260.955963134766,263.707580566406
"Colombia",152.549285888672,157.011138916016,159.645629882812,163.643127441406,170.055099487305,179.124176025391,187.773651123047,200.386169433594,213.888580322266,220.911499023438,223.429122924805,233.471481323242,249.692840576172,259.46240234375,272.783172607422,285.055786132812,293.481750488281,299.607818603516,303.680603027344,311.319122314453,321.661834716797
"Ecuador",52.8027229309082,53.379222869873,55.5227355957031,57.7973785400391,59.3711242675781,64.2461013793945,67.6455612182617,70.6243515014648,72.1710662841797,76.7590789794922,77.1939163208008,79.9152297973633,86.2030715942383,91.0666198730469,95.5712356567383,99.1923065185547,99.2903823852539,98.0727005004883,100.395446777344,101.689834594727,101.744453430176
"Guyana",2.05541944503784,2.02738738059998,2.07360219955444,2.09708833694458,2.08382987976074,2.11640763282776,2.07511734962463,2.18156290054321,2.33470058441162,2.38084936141968,2.46542096138,2.56745409965515,2.70086050033569,2.84336924552917,2.9860417842865,3.10244464874268,3.19722032546997,3.30474972724915,3.37414979934692,3.51249003410339,3.67743253707886
"Paraguay",21.2759761810303,20.783618927002,20.6102733612061,20.6058616638184,21.4961891174316,22.3683795928955,22.8456058502197,23.9438209533691,25.24196434021,26.847131729126,26.7778739929199,29.7619304656982,31.0265464782715,30.8594646453857,33.4570579528809,35.0833702087402,36.1640701293945,37.7237930297852,39.5941543579102,40.9213333129883,40.9090957641602
"Peru",85.1170806884766,87.4104461669922,87.950553894043,92.7469635009766,96.6098937988281,101.400009155273,107.773063659668,115.887184143066,125.758903503418,137.236373901367,138.740249633789,150.300720214844,159.810531616211,169.622451782227,179.549652099609,183.826797485352,189.805297851562,197.308898925781,202.278793334961,210.323287963867,214.845520019531
"Suriname",2.6717631816864,2.72786998748779,2.84244060516357,2.92202925682068,3.106116771698,3.37013673782349,3.52179288864136,3.72582960128784,3.91627478599548,4.07854223251343,4.20145702362061,4.41862297058105,4.67708444595337,4.80291414260864,4.94380521774292,4.95643663406372,4.78736782073975,4.52113342285156,4.6008095741272,4.72129487991333,4.6848578453064
"Uruguay",34.1331634521484,33.4744186401367,32.1876182556152,29.6988697052002,29.9380302429199,31.4361763000488,33.7813568115234,35.1659126281738,37.4662933349609,40.1549301147461,41.8589019775391,45.1253242492676,47.4547538757324,49.1337852478027,51.4123840332031,53.0775260925293,53.2743034362793,54.1745338439941,55.5783767700195,56.4787940979004,56.604248046875
"Venezuela",359.755004882812,373.018981933594,385.680114746094,351.525634765625,324.263793945312,383.560607910156,423.135955810547,464.909088134766,505.604858398438,532.289916992188,515.244384765625,507.573486328125,528.771911621094,558.520385742188,566.021850585938,543.978759765625,510.135833740234,423.206970214844,356.884490966797,286.858551025391,193.802612304688
"Europe",13851.4651203156,14380.6040101051,14708.3964562416,14897.928437233,15086.0970535278,15480.7455787659,15821.6321792603,16356.4976787567,16861.4236836433,16956.3243932724,16244.6425333023,16597.982213974,16897.6214456558,16859.9096021652,16931.2728996277,17235.3190946579,17635.816740036,17989.7898788452,18447.9603614807,18822.1555461884,19100.2350568771
"European Union 28",13000.2523241043,13497.0682120323,13808.8793783188,13990.4141979218,14173.0813436508,14535.4652085304,14846.3516759872,15346.7081189156,15811.8001561165,15887.5680027008,15198.2446117401,15530.3544082642,15814.2532186508,15760.5329647064,15813.7016839981,16093.9793930054,16475.5023641586,16809.9794454575,17244.0513486862,17589.7463951111,17853.1073637009
"Euro Zone",9194.86890506744,9548.49973249435,9762.33981990814,9850.40842628479,9914.99835109711,10137.0555520058,10304.2320699692,10638.5555119514,10952.7160954475,10998.6990528107,10489.9451541901,10714.1472473145,10900.5704221725,10799.9141864777,10769.549870491,10919.77734375,11152.244433403,11366.6433782578,11659.7759008408,11885.6982536316,12036.5054578781
