"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"94","GTM","NO","Guatemala",25,25,"No","No","No","No"
"95","GUF","SA","French Guiana",NA,NA,"No","No","No","No"
"96","GUM","OC","Guam",21,21,"No","No","No","No"
"97","GUY","SA","Guyana",25,25,"No","No","No","No"
"98","HKG","AS","China, Hong Kong Special Administrative Region",16.5,16.5,"Yes","No","No","No"
"99","HMD","AN","Heard Island and McDonald Islands",NA,NA,"No","No","No","No"
"100","HND","NO","Honduras",30,30,"Yes","No","No","No"
"101","HRV","EU","Croatia",18,18,"Yes","Yes","No","Yes"
"102","HTI","NO","Haiti",30,30,"No","No","No","No"
"103","HUN","EU","Hungary",9,15,"Yes","Yes","No","Yes"
"104","IDN","AS","Indonesia",22,22,"Yes","No","No","No"
"105","IMN","EU","Isle of Man",0,0,"Yes","No","No","No"
"106","IND","AS","India",30,30,"Yes","No","No","No"
"107","IOT","AS","British Indian Ocean Territory",NA,NA,"No","No","No","No"
"108","IRL","EU","Ireland",12.5,15,"Yes","Yes","No","Yes"
"109","IRN","AS","Iran (Islamic Republic of)",25,25,"No","No","No","No"
"110","IRQ","AS","Iraq",15,15,"No","No","No","No"
"111","ISL","EU","Iceland",21,21,"Yes","No","No","No"
"112","ISR","AS","Israel",23,23,"Yes","No","No","No"
"113","ITA","EU","Italy",27.81,27.81,"Yes","Yes","No","Yes"
"114","JAM","NO","Jamaica",25,25,"Yes","No","No","No"
"115","JEY","EU","Jersey",0,0,"Yes","No","No","No"
"116","JOR","AS","Jordan",20,20,"Yes","No","No","No"
"117","JPN","AS","Japan",29.74,29.74,"Yes","Yes","No","No"
"118","KAZ","AS","Kazakhstan",20,20,"Yes","No","No","No"
"119","KEN","AF","Kenya",30,30,"No","No","No","No"
"120","KGZ","AS","Kyrgyzstan",10,10,"No","No","No","No"
"121","KHM","AS","Cambodia",20,20,"No","No","No","No"
"122","KIR","OC","Kiribati",30,30,"No","No","No","No"
"123","KNA","NO","Saint Kitts and Nevis",33,33,"No","No","No","No"
"124","KOR","AS","Republic of Korea",26.4,26.4,"Yes","Yes","No","No"
"125","KWT","AS","Kuwait",15,15,"No","No","No","No"
"126","LAO","AS","Lao People's Democratic Republic",20,20,"No","No","No","No"
"127","LBN","AS","Lebanon",17,17,"No","No","No","No"
"128","LBR","AF","Liberia",25,25,"Yes","No","No","No"
"129","LBY","AF","Libya",20,20,"No","No","No","No"
"130","LCA","NO","Saint Lucia",30,30,"No","No","No","No"
"131","LIE","EU","Liechtenstein",12.5,15,"Yes","Yes","No","Yes"
"132","LKA","AS","Sri Lanka",30,30,"No","No","No","No"
"133","LSO","AF","Lesotho",25,25,"No","No","No","No"
"134","LTU","EU","Lithuania",15,15,"Yes","No","No","No"
"135","LUX","EU","Luxembourg",24.94,24.94,"Yes","Yes","No","Yes"
"136","LVA","EU","Latvia",20,20,"Yes","No","No","No"
