"","dist.counts","dist.breaks.1.12."
"1",15,0
"2",15,5
"3",15,10
"4",35,15
"5",59,20
"6",59,25
"7",25,30
"8",2,35
"9",0,40
"10",0,45
"11",0,50
"12",0,55
