"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"630","ABW","NO","Aruba","2021",25,NA,0,0,0,0,0
"126","AFG","AS","Afghanistan","2021",20,"23.5514831542969",0,0,0,0,0
"378","AGO","AF","Angola","2021",25,"108.760673522949",0,0,0,0,0
"210","AIA","NO","Anguilla","2021",0,NA,0,0,0,0,0
"672","ALA","EU","Aland Islands","2021",20,NA,0,0,0,0,0
"252","ALB","EU","Albania","2021",15,"12.6123971939087",0,0,0,0,0
"42","AND","EU","Andorra","2021",10,NA,0,0,0,0,0
"84","ARE","AS","United Arab Emirates","2021",0,"373.110778808594",0,0,0,0,0
"462","ARG","SA","Argentina","2021",35,"528.024230957031",0,0,0,1,0
"294","ARM","AS","Armenia","2021",18,"12.9178028106689",0,0,0,0,0
"504","ASM","OC","American Samoa","2021",34,NA,0,0,0,0,0
"168","ATG","NO","Antigua and Barbuda","2021",25,"1.55673539638519",0,0,0,0,0
"588","AUS","OC","Australia","2021",30,"1422.55712890625",1,0,0,1,0
"546","AUT","EU","Austria","2021",25,"405.15966796875",1,1,0,0,0
"714","AZE","AS","Azerbaijan","2021",20,"51.174488067627",0,0,0,0,0
"1050","BDI","AF","Burundi","2021",30,"3.06476950645447",0,0,0,0,0
"882","BEL","EU","Belgium","2021",25,"465.265533447266",1,1,0,0,0
"1092","BEN","AF","Benin","2021",30,"15.2476177215576",0,0,0,0,0
"1302","BES","NO","Bonaire, Sint Eustatius and Saba","2021",25,NA,0,0,0,0,0
"924","BFA","AF","Burkina Faso","2021",28,"15.9237203598022",0,0,0,0,0
"840","BGD","AS","Bangladesh","2021",32.5,"257.064971923828",0,0,0,0,0
"966","BGR","EU","Bulgaria","2021",10,"56.0100326538086",0,1,0,0,0
"1008","BHR","AS","Bahrain","2021",0,"33.747200012207",0,0,0,0,0
"1386","BHS","NO","Bahamas","2021",0,"11.2571134567261",0,0,0,0,0
"756","BIH","EU","Bosnia and Herzegovina","2021",10,"17.428638458252",0,0,0,0,0
"1134","BLM","NO","Saint Barthelemy","2021",0,NA,0,0,0,0,0
"1554","BLR","EU","Belarus","2021",18,"56.0300140380859",0,0,0,0,0
"1596","BLZ","NO","Belize","2021",25,"1.73145341873169",0,0,0,0,0
"1176","BMU","NO","Bermuda","2021",0,NA,0,0,0,0,0
"1260","BOL","SA","Bolivia (Plurinational State of)","2021",25,"36.7991752624512",0,0,0,0,0
"1344","BRA","SA","Brazil","2021",34,"1745.93518066406",0,0,0,1,1
"798","BRB","NO","Barbados","2021",5.5,"4.47690153121948",0,0,0,0,0
"1218","BRN","AS","Brunei Darussalam","2021",18.5,"14.706524848938",0,0,0,0,0
"1428","BTN","AS","Bhutan","2021",30,"2.62645530700684",0,0,0,0,0
"1512","BWA","AF","Botswana","2021",22,"15.7171382904053",0,0,0,0,0
"1764","CAF","AF","Central African Republic","2021",30,"2.05188298225403",0,0,0,0,0
"1638","CAN","NO","Canada","2021",26.15,"1641.02514648438",1,0,1,1,0
"1848","CHE","EU","Switzerland","2021",19.698516,"720.941650390625",1,0,0,0,0
"1974","CHL","SA","Chile","2021",10,"252.734786987305",1,0,0,0,0
"2058","CHN","AS","China","2021",25,"15564.7490234375",0,0,0,1,1
"1890","CIV","AF","Cote d'Ivoire","2021",25,NA,0,0,0,0,0
"2016","CMR","AF","Cameroon","2021",33,"36.6523361206055",0,0,0,0,0
"1722","COD","AF","Democratic Republic of the Congo","2021",30,"44.7225456237793",0,0,0,0,0
"1806","COG","AF","Congo","2021",28,"8.01808643341064",0,0,0,0,0
