"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"5597","GNB","AF","Guinea-Bissau","2025",25,1.8899281769282,0,0,0,0,0
"5310","GNQ","AF","Equatorial Guinea","2025",25,9.23023202402197,0,0,0,0,0
"5375","GRC","EU","Greece","2025",22,228.427444527786,1,1,0,0,0
"4755","GRD","NO","Grenada","2025",28,1.27907491619229,0,0,0,0,0
"5088","GRL","NO","Greenland","2025",26.5,NA,0,0,0,0,0
"5486","GTM","NO","Guatemala","2025",25,93.86522162236,0,0,0,0,0
"5551","GUM","OC","Guam","2025",21,NA,0,0,0,0,0
"5662","GUY","SA","Guyana","2025",25,31.1762591602286,0,0,0,0,0
"5727","HKG","AS","China, Hong Kong Special Administrative Region","2025",16.5,353.722237406531,0,0,0,0,0
"5838","HND","NO","Honduras","2025",30,29.3153841910114,0,0,0,0,0
"5903","HRV","EU","Croatia","2025",18,72.7213322642325,0,1,0,0,0
"5968","HTI","NO","Haiti","2025",30,13.705131355084,0,0,0,0,0
"6033","HUN","EU","Hungary","2025",9,177.523008784326,1,1,0,0,0
"6098","IDN","AS","Indonesia","2025",22,1392.57777952679,0,0,0,1,0
"6293","IMN","EU","Isle of Man","2025",0,NA,0,0,0,0,0
"6339","IND","AS","India","2025",30,3920.58098315395,0,0,0,1,1
"6163","IRL","EU","Ireland","2025",12.5,514.234491701334,1,1,0,0,0
"6515","IRN","AS","Iran (Islamic Republic of)","2025",25,525.1139697254,0,0,0,0,0
"6450","IRQ","AS","Iraq","2025",15,195.12159270142,0,0,0,0,0
"6580","ISL","EU","Iceland","2025",20,30.2931356355794,1,0,0,0,0
"6228","ISR","AS","Israel","2025",23,473.951814367157,1,0,0,0,0
"6645","ITA","EU","Italy","2025",27.81,2087.18148771182,1,1,1,1,0
"6756","JAM","NO","Jamaica","2025",25,16.0573120262012,0,0,0,0,0
"6710","JEY","EU","Jersey","2025",0,NA,0,0,0,0,0
"6821","JOR","AS","Jordan","2025",20,48.7630530631987,0,0,0,0,0
"6886","JPN","AS","Japan","2025",29.74,5090.80463249077,1,0,1,1,0
"7525","KAZ","AS","Kazakhstan","2025",20,220.289978234465,0,0,0,0,0
"6951","KEN","AF","Kenya","2025",30,119.803903384129,0,0,0,0,0
"7016","KGZ","AS","Kyrgyzstan","2025",10,10.7104552470119,0,0,0,0,0
"7081","KHM","AS","Cambodia","2025",20,31.6991449686116,0,0,0,0,0
"7146","KIR","OC","Kiribati","2025",30,NA,0,0,0,0,0
"7238","KNA","NO","Saint Kitts and Nevis","2025",33,1.14560973572086,0,0,0,0,0
"7349","KOR","AS","Republic of Korea","2025",26.4,1928.64600161947,1,0,0,1,0
"7414","KWT","AS","Kuwait","2025",15,126.819534115027,0,0,0,0,0
"7590","LAO","AS","Lao People's Democratic Republic","2025",20,22.2960241557994,0,0,0,0,0
"7655","LBN","AS","Lebanon","2025",17,36.0211808688975,0,0,0,0,0
"7896","LBR","AF","Liberia","2025",25,3.32094050446181,0,0,0,0,0
