"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"591","ABW","NO","Aruba","2025",22,NA,0,0,0,0,0
"67","AFG","AS","Afghanistan","2025",20,14.4684109315799,0,0,0,0,0
"329","AGO","AF","Angola","2025",25,125.415453272464,0,0,0,0,0
"197","AIA","NO","Anguilla","2025",0,NA,0,0,0,0,0
"592","ALA","EU","Aland Islands","2025",20,NA,0,0,0,0,0
"198","ALB","EU","Albania","2025",15,16.9334772200046,0,0,0,0,0
"1","AND","EU","Andorra","2025",10,NA,0,0,0,0,0
"2","ARE","AS","United Arab Emirates","2025",15,468.798791713445,0,0,0,0,0
"395","ARG","SA","Argentina","2025",35,623.291545182296,0,0,0,1,0
"263","ARM","AS","Armenia","2025",18,18.2833999324586,0,0,0,0,0
"460","ASM","OC","American Samoa","2025",34,NA,0,0,0,0,0
"132","ATG","NO","Antigua and Barbuda","2025",25,1.72586812285415,0,0,0,0,0
"526","AUS","OC","Australia","2025",30,1663.98310413042,1,0,0,1,0
"461","AUT","EU","Austria","2025",23,446.045385602268,1,1,0,0,0
"593","AZE","AS","Azerbaijan","2025",20,48.0390401081754,0,0,0,0,0
"1113","BDI","AF","Burundi","2025",30,4.0539474352974,0,0,0,0,0
"853","BEL","EU","Belgium","2025",25,571.658100260154,1,1,0,0,0
"1178","BEN","AF","Benin","2025",30,20.4149644115456,0,0,0,0,0
"1375","BES","NO","Bonaire, Sint Eustatius and Saba","2025",25.8,NA,0,0,0,0,0
"918","BFA","AF","Burkina Faso","2025",27.5,20.2330003386072,0,0,0,0,0
"788","BGD","AS","Bangladesh","2025",27.5,472.907165903959,0,0,0,0,0
"983","BGR","EU","Bulgaria","2025",15,73.0454325650308,0,1,0,0,0
"1048","BHR","AS","Bahrain","2025",15,40.5693934399583,0,0,0,0,0
"1441","BHS","NO","Bahamas","2025",15,13.6315461341174,0,0,0,0,0
"658","BIH","EU","Bosnia and Herzegovina","2025",10,23.759484010383,0,0,0,0,0
"1243","BLM","NO","Saint Barthelemy","2025",0,NA,0,0,0,0,0
"1637","BLR","EU","Belarus","2025",25,61.227792265802,0,0,0,0,0
"1702","BLZ","NO","Belize","2025",0,2.9545374339114,0,0,0,0,0
"1244","BMU","NO","Bermuda","2025",15,NA,0,0,0,0,0
"1310","BOL","SA","Bolivia (Plurinational State of)","2025",25,42.87922716606,0,0,0,0,0
"1376","BRA","SA","Brazil","2025",34,2388.90697747886,0,0,0,1,1
"723","BRB","NO","Barbados","2025",15,5.42697425318162,0,0,0,0,0
"1245","BRN","AS","Brunei Darussalam","2025",18.5,13.3402089898063,0,0,0,0,0
"1506","BTN","AS","Bhutan","2025",25,3.27911807591345,0,0,0,0,0
