"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"43","ARE","AS","United Arab Emirates","1980",0,"118.500358581543",0,0,0,0,0
"421","ARG","SA","Argentina","1980",33,"222.095855712891",0,0,0,1,0
"547","AUS","OC","Australia","1980",46,"457.812225341797",1,0,0,1,0
"505","AUT","EU","Austria","1980",55,"208.332885742188",1,1,0,0,0
"841","BEL","EU","Belgium","1980",48,"270.425354003906",1,1,0,0,0
"967","BHR","AS","Bahrain","1980",0,"7.62422275543213",0,0,0,0,0
"1345","BHS","NO","Bahamas","1980",0,"5.62297868728638",0,0,0,0,0
"1219","BOL","SA","Bolivia (Plurinational State of)","1980",30,"9.20273780822754",0,0,0,0,0
"1303","BRA","SA","Brazil","1980",35,"1007.71417236328",0,0,0,1,1
"757","BRB","NO","Barbados","1980",45,"3.31771063804626",0,0,0,0,0
"1471","BWA","AF","Botswana","1980",35,"1.89360022544861",0,0,0,0,0
"1933","CHL","SA","Chile","1980",48.6,"59.0612754821777",1,0,0,0,0
"2017","CHN","AS","China","1980",55.2,"341.36181640625",0,0,0,1,1
"1681","COD","AF","Democratic Republic of the Congo","1980",50,"22.2602672576904",0,0,0,0,0
"2059","COL","SA","Colombia","1980",40,"105.636444091797",1,0,0,0,0
"2101","CRI","NO","Costa Rica","1980",45,"12.0066165924072",1,0,0,0,0
"2311","CYP","EU","Cyprus","1980",42.5,"6.4675726890564",0,1,0,0,0
"2479","DNK","EU","Denmark","1980",40,"186.366455078125",1,1,0,0,0
"2563","DOM","NO","Dominican Republic","1980",38,"15.2148790359497",0,0,0,0,0
"2647","ECU","SA","Ecuador","1980",20,"29.4122943878174",0,0,0,0,0
"2731","EGY","AF","Egypt","1980",39.7,"46.809757232666",0,0,0,0,0
"2857","ESP","EU","Spain","1980",33,"653.867614746094",1,1,0,0,0
"2983","FJI","OC","Fiji","1980",37.5,"1.86009883880615",0,0,0,0,0
"3151","FRA","EU","France","1980",50,"1489.72937011719",1,1,1,1,0
"3235","GBR","EU","United Kingdom of Great Britain and Northern Ireland","1980",52,"1231.31787109375",1,0,1,1,0
"3445","GHA","AF","Ghana","1980",60,"9.7353687286377",0,0,0,0,0
"3823","GTM","NO","Guatemala","1980",48,"18.2293186187744",0,0,0,0,0
"3991","HKG","AS","China, Hong Kong Special Administrative Region","1980",17,"54.3135375976562",0,0,0,0,0
"4075","HND","NO","Honduras","1980",40,"5.84807825088501",0,0,0,0,0
"4243","IDN","AS","Indonesia","1980",45,"181.537063598633",0,0,0,1,0
"4411","IND","AS","India","1980",60,"294.532196044922",0,0,0,1,1
"4285","IRL","EU","Ireland","1980",45,"58.3852615356445",1,1,0,0,0
"4705","JAM","NO","Jamaica","1980",45,"7.96287870407104",0,0,0,0,0
"4831","KEN","AF","Kenya","1980",45,"14.6102848052979",0,0,0,0,0
"5167","KWT","AS","Kuwait","1980",50,"52.4813957214355",0,0,0,0,0
"5335","LBN","AS","Lebanon","1980",44,"10.5758581161499",0,0,0,0,0
"5461","LKA","AS","Sri Lanka","1980",50,"13.672456741333",0,0,0,0,0
"5545","LSO","AF","Lesotho","1980",37.5,"0.72522234916687",0,0,0,0,0
"5755","MAR","AF","Morocco","1980",48,"27.2146320343018",0,0,0,0,0
"6595","MEX","NO","Mexico","1980",42,"543.23486328125",1,0,0,1,0
"6427","MLT","EU","Malta","1980",32.5,"2.90466141700745",0,1,0,0,0
"6469","MUS","AF","Mauritius","1980",50,"2.18799495697021",0,0,0,0,0
"6553","MWI","AF","Malawi","1980",45,"2.5094165802002",0,0,0,0,0
"6637","MYS","AS","Malaysia","1980",40,"45.7721786499023",0,0,0,0,0
"6889","NGA","AF","Nigeria","1980",45,"151.251968383789",0,0,0,0,0
"6931","NIC","NO","Nicaragua","1980",50,"5.38926601409912",0,0,0,0,0
"6973","NLD","EU","Netherlands","1980",48,"425.567230224609",1,1,0,0,0
"7183","NZL","OC","New Zealand","1980",45,"70.0264434814453",1,0,0,0,0
"7225","OMN","AS","Oman","1980",50,"11.4368257522583",0,0,0,0,0
"7477","PAK","AS","Pakistan","1980",55,"42.7204666137695",0,0,0,0,0
"7267","PAN","NO","Panama","1980",50,"8.76210021972656",0,0,0,0,0
"7309","PER","SA","Peru","1980",55,"64.7115097045898",0,0,0,0,0
"7435","PHL","AS","Philippines","1980",35,"79.972412109375",0,0,0,0,0
"7393","PNG","OC","Papua New Guinea","1980",36.5,"5.67410802841187",0,0,0,0,0
"7645","PRI","NO","Puerto Rico","1980",22,"48.4030990600586",0,0,0,0,0
"7813","PRY","SA","Paraguay","1980",30,"10.0391988754272",0,0,0,0,0
"8107","SAU","AS","Saudi Arabia","1980",45,"355.707611083984",0,0,0,1,0
"8317","SGP","AS","Singapore","1980",40,"32.1269760131836",0,0,0,0,0
"8149","SLB","OC","Solomon Islands","1980",35,"0.356463968753815",0,0,0,0,0
"8821","SLV","NO","El Salvador","1980",30,"11.791069984436",0,0,0,0,0
"8947","SWZ","AF","Swaziland","1980",37.5,"0.966856837272644",0,0,0,0,0
"8191","SYC","AF","Seychelles","1980",35,"0.387192666530609",0,0,0,0,0
"9157","THA","AS","Thailand","1980",35,"66.5138778686523",0,0,0,0,0
"9493","TTO","NO","Trinidad and Tobago","1980",45,"10.2092304229736",0,0,0,0,0
"9577","TWN","AS","Taiwan","1980",35,"70.7863006591797",0,0,0,0,0
"9619","TZA","AF","United Republic of Tanzania","1980",50,"9.67924404144287",0,0,0,0,0
"9829","URY","SA","Uruguay","1980",25,"21.4433250427246",0,0,0,0,0
"9787","USA","NO","United States of America","1980",49.699,"6529.17333984375",1,0,1,1,0
"9997","VEN","SA","Venezuela (Bolivarian Republic of)","1980",50,"161.688095092773",0,0,0,0,0
"10165","VUT","OC","Vanuatu","1980",0,"0.23939223587513",0,0,0,0,0
"10249","WSM","OC","Samoa","1980",42,"0.393896341323853",0,0,0,0,0
"10417","ZAF","AF","South Africa","1980",42,"191.963592529297",0,0,0,1,1
"10459","ZMB","AF","Zambia","1980",48,"7.56262016296387",0,0,0,0,0
