"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"129","AFG","AS","Afghanistan","2022",20,22.2932669761755,0,0,0,0,0
"387","AGO","AF","Angola","2022",25,108.857171887412,0,0,0,0,0
"258","ALB","EU","Albania","2022",15,13.7682252277567,0,0,0,0,0
"86","ARE","AS","United Arab Emirates","2022",0,389.977035944268,0,0,0,0,0
"473","ARG","SA","Argentina","2022",35,553.698033752913,0,0,0,1,0
"301","ARM","AS","Armenia","2022",18,13.1389005669424,0,0,0,0,0
"172","ATG","NO","Antigua and Barbuda","2022",25,1.49497699173847,0,0,0,0,0
"602","AUS","OC","Australia","2022",30,1538.45148624739,1,0,0,1,0
"559","AUT","EU","Austria","2022",25,425.322177025529,1,1,0,0,0
"731","AZE","AS","Azerbaijan","2022",20,54.2674532033746,0,0,0,0,0
"1075","BDI","AF","Burundi","2022",30,3.16673439630492,0,0,0,0,0
"903","BEL","EU","Belgium","2022",25,504.147396232362,1,1,0,0,0
"1118","BEN","AF","Benin","2022",30,16.0513398128323,0,0,0,0,0
"946","BFA","AF","Burkina Faso","2022",27.5,16.4101358934685,0,0,0,0,0
"860","BGD","AS","Bangladesh","2022",30,284.294133990314,0,0,0,0,0
"989","BGR","EU","Bulgaria","2022",10,60.9446469470895,0,1,0,0,0
"1032","BHR","AS","Bahrain","2022",0,35.2916092217973,0,0,0,0,0
"1419","BHS","NO","Bahamas","2022",0,10.801188192902,0,0,0,0,0
"774","BIH","EU","Bosnia and Herzegovina","2022",10,18.4411456978669,0,0,0,0,0
"1591","BLR","EU","Belarus","2022",18,59.427521235914,0,0,0,0,0
"1634","BLZ","NO","Belize","2022",0,1.65230872733097,0,0,0,0,0
"1290","BOL","SA","Bolivia (Plurinational State of)","2022",25,37.9877100426651,0,0,0,0,0
"1376","BRA","SA","Brazil","2022",34,1877.12165804981,0,0,0,1,1
"817","BRB","NO","Barbados","2022",5.5,4.3973412130183,0,0,0,0,0
"1247","BRN","AS","Brunei Darussalam","2022",18.5,15.0193468221624,0,0,0,0,0
"1462","BTN","AS","Bhutan","2022",25,2.66580315201261,0,0,0,0,0
"1548","BWA","AF","Botswana","2022",22,16.9711076130095,0,0,0,0,0
"1806","CAF","AF","Central African Republic","2022",30,2.05050605901743,0,0,0,0,0
"1677","CAN","NO","Canada","2022",26.21,1765.42475675219,1,0,1,1,0
"1892","CHE","EU","Switzerland","2022",19.699,769.489336778676,1,0,0,0,0
"2021","CHL","SA","Chile","2022",27,278.245413357063,1,0,0,0,0
"2107","CHN","AS","China","2022",25,16815.2951464644,0,0,0,1,1
"2064","CMR","AF","Cameroon","2022",33,38.0451248530902,0,0,0,0,0
"1763","COD","AF","Democratic Republic of the Congo","2022",30,49.2048576396989,0,0,0,0,0
"1849","COG","AF","Congo","2022",28,8.04642223305793,0,0,0,0,0
"2150","COL","SA","Colombia","2022",35,331.650521482472,1,0,0,0,0
"2279","CPV","AF","Cabo Verde","2022",22,1.8096209767914,0,0,0,0,0
"2193","CRI","NO","Costa Rica","2022",30,63.9171931104353,1,0,0,0,0
"2236","CUB","NO","Cuba","2022",35,84.6986086855263,0,0,0,0,0
"2408","CYP","EU","Cyprus","2022",12.5,24.3358629584659,0,1,0,0,0
"2451","CZE","EU","Czechia","2022",19,216.123748229559,1,1,0,0,0
"2494","DEU","EU","Germany","2022",29.83,3709.60729468065,1,1,1,1,0
"2537","DJI","AF","Djibouti","2022",25,3.30853339334238,0,0,0,0,0
"2623","DMA","NO","Dominica","2022",25,0.48183996877052,0,0,0,0,0
"2580","DNK","EU","Denmark","2022",22,347.77476969816,1,1,0,0,0
"2666","DOM","NO","Dominican Republic","2022",27,94.3693971594253,0,0,0,0,0
"2709","DZA","AF","Algeria","2022",26,167.618649007614,0,0,0,0,0
"2752","ECU","SA","Ecuador","2022",25,99.5950496972487,0,0,0,0,0
"2838","EGY","AF","Egypt","2022",22.5,449.069966433055,0,0,0,0,0
"2924","ERI","AF","Eritrea","2022",30,5.0507761695385,0,0,0,0,0
"2967","ESP","EU","Spain","2022",25,1320.78127098415,1,1,0,0,0
"2795","EST","EU","Estonia","2022",20,29.54076425229,1,1,0,0,0
"3010","ETH","AF","Ethiopia","2022",30,104.415651556682,0,0,0,0,0
"3053","FIN","EU","Finland","2022",20,265.573182797495,1,1,0,0,0
"3096","FJI","OC","Fiji","2022",20,4.79831545662522,0,0,0,0,0
"3268","FRA","EU","France","2022",25.825,2635.44735694668,1,1,1,1,0
"3311","GAB","AF","Gabon","2022",30,15.8478046360596,0,0,0,0,0
"3354","GBR","EU","United Kingdom of Great Britain and Northern Ireland","2022",19,3158.37973372296,1,0,1,1,0
"3440","GEO","AS","Georgia","2022",15,18.3230010706699,0,0,0,0,0
"3569","GHA","AF","Ghana","2022",25,66.6916939167097,0,0,0,0,0
"3741","GIN","AF","Guinea","2022",35,13.9140773353446,0,0,0,0,0
"3698","GMB","AF","Gambia","2022",27,1.80533826324511,0,0,0,0,0
"4042","GNB","AF","Guinea-Bissau","2022",25,1.3381179958706,0,0,0,0,0
"3827","GNQ","AF","Equatorial Guinea","2022",35,8.38038368411291,0,0,0,0,0
"3870","GRC","EU","Greece","2022",22,208.675588949378,1,1,0,0,0
"3397","GRD","NO","Grenada","2022",28,1.11415869274475,0,0,0,0,0
"3956","GTM","NO","Guatemala","2022",25,75.7090918246652,0,0,0,0,0
"4085","GUY","SA","Guyana","2022",25,7.69705290856933,0,0,0,0,0
"4128","HKG","AS","China, Hong Kong Special Administrative Region","2022",16.5,345.073546538801,0,0,0,0,0
"4214","HND","NO","Honduras","2022",25,24.0716433430492,0,0,0,0,0
"4257","HRV","EU","Croatia","2022",18,57.5178567620725,0,1,0,0,0
"4300","HTI","NO","Haiti","2022",30,8.61156096600125,0,0,0,0,0
"4343","HUN","EU","Hungary","2022",9,154.001609520704,1,1,0,0,0
"4386","IDN","AS","Indonesia","2022",22,1108.95890007246,0,0,0,1,0
"4558","IND","AS","India","2022",30,2886.09903573337,0,0,0,1,1
"4429","IRL","EU","Ireland","2022",12.5,424.04216043617,1,1,0,0,0
"4687","IRN","AS","Iran (Islamic Republic of)","2022",25,428.748143808514,0,0,0,0,0
"4644","IRQ","AS","Iraq","2022",15,199.260386403837,0,0,0,0,0
"4730","ISL","EU","Iceland","2022",20,21.0076167458411,1,0,0,0,0
"4472","ISR","AS","Israel","2022",23,366.76689962428,1,0,0,0,0
"4773","ITA","EU","Italy","2022",27.81,1915.65189199548,1,1,1,1,0
"4859","JAM","NO","Jamaica","2022",25,14.7138934575461,0,0,0,0,0
"4902","JOR","AS","Jordan","2022",20,42.8825810175539,0,0,0,0,0
"4945","JPN","AS","Japan","2022",29.74,4607.08937262138,1,0,1,1,0
